External ID	Issue Type	Summary	Priority	Epic / Parent	Estimate	Labels	Description	Dependencies
E1	Epic	[E1] Domain Invariants	P0		road700,master-plan,epic,domain-invariants	Стабилизировать архив, review и состояния repair/document.	
E2	Epic	[E2] Archive/Restore Model	P0		road700,master-plan,epic,archive-restore	Выделить явный lifecycle archive/restore.	
E3	Epic	[E3] OCR Import Async Stability	P0		road700,master-plan,epic,ocr,import,async	Убрать гонки и неатомарные workflow OCR/import.	
E4	Epic	[E4] Operational Scope and Dictionaries	P1		road700,master-plan,epic,operational-scope,dictionaries	Исключить архивные сущности из operational flows.	
E5	Epic	[E5] Audit and Observability	P1		road700,master-plan,epic,audit,observability	Сделать аудит полным и корректно ограниченным по видимости.	
E6	Epic	[E6] Backup and Security	P0		road700,master-plan,epic,backup,security	Стабилизировать backup/restore и auth contour.	
E7	Epic	[E7] Schema and Data Integrity	P1		road700,master-plan,epic,schema,data-integrity	Выровнять ORM, миграции и relation graph.	
E8	Epic	[E8] Frontend Contracts and Performance	P2		road700,master-plan,epic,frontend,performance	Убрать frontend debt и снизить нагрузку на тяжелых экранах.	
E9	Epic	[E9] Use Case Closure and Documentation	P1		road700,master-plan,epic,use-case,documentation	Закрыть финальные gap по ТЗ и синхронизировать документы.	
T00	Task	[T00] Собрать regression-набор по найденным багам	P0	E1	2d	road700,master-plan,p0,testing,regression	Собрать минимальный надежный regression-набор по подтвержденным багам и доменным инвариантам.	
T01	Task	[T01] Добавить backend guards для архивных repair/document/vehicle	P0	E1	2d	road700,master-plan,p0,backend,archive	Закрыть рабочие backend-операции для архивных repair, document и vehicle.	T00
T02	Task	[T02] Закрыть review action для не-queue документов	P0	E1	1d	road700,master-plan,p0,review,backend	Разрешить review action только для реальных элементов review queue.	T00
T03	Task	[T03] Исправить PATCH repairs/{id} чтобы не стирал checks	P0	E1	1d	road700,master-plan,p0,backend,repair	Исправить partial update ремонта, чтобы patch не затирал checks без явного запроса.	T00
T04	Task	[T04] Запретить upload/process/link/set-primary/compare на архивных сущностях	P0	E1	2d	road700,master-plan,p0,archive,backend,documents,repairs	Полностью закрыть document/repair operational actions для архивных сущностей.	T00 T01
T05	Task	[T05] Исправить state machine ремонта при check updates	P0	E1	1.5d	road700,master-plan,p0,repair,state-machine	Зафиксировать корректные status transitions ремонта при обновлении checks.	T03
T06	Task	[T06] Выделить явные archive/restore endpoints для repair	P0	E2	2d	road700,master-plan,p0,archive,backend,repair	Вынести archive и restore ремонта в отдельные backend endpoints с явным контрактом.	T01 T04
T07	Task	[T07] Выделить явные archive/restore endpoints для document	P0	E2	2d	road700,master-plan,p0,archive,backend,document	Вынести archive и restore документа в отдельные backend endpoints с явным контрактом.	T01 T04
T08	Task	[T08] Починить инварианты primary/source document	P0	E2	2.5d	road700,master-plan,p0,document,relations	Зафиксировать и восстановить инварианты primary/source document без противоречивых состояний.	T06 T07
T09	Task	[T09] Перевести frontend archive flows на новые endpoints	P0	E2	2d	road700,master-plan,p0,frontend,archive	Перевести frontend repair/document archive flows на новые backend endpoints.	T06 T07 T08
T10	Task	[T10] Привести UI ремонта/документов к read-only архиву	P1	E2	1.5d	road700,master-plan,p1,frontend,archive,ux	Сделать архивные repair и document доступными только в режиме просмотра.	T06 T07 T08 T09
T11	Task	[T11] Ввести идемпотентность OCR jobs	P0	E3	3d	road700,master-plan,p0,ocr,async,backend	Исключить дубли OCR jobs и гонки при повторных запросах.	
T12	Task	[T12] Сделать транзакционные workflow upload/process/import	P0	E3	4d	road700,master-plan,p0,import,transactions,backend	Сделать upload/process/import атомарными и не оставляющими полусостояния.	T11
T13	Task	[T13] Подключить общую upload-validation к labor-norms/import	P1	E3	1d	road700,master-plan,p1,import,validation,labor-norms	Перевести импорт нормо-часов на общий validation pipeline.	T12
T14	Task	[T14] Исключить архивную технику из operational lists/search	P1	E4	1.5d	road700,master-plan,p1,vehicle,archive,search	Убрать архивную технику из рабочих списков и поиска по умолчанию.	T01
T15	Task	[T15] Убрать архивную технику из назначения сотруднику	P1	E4	1d	road700,master-plan,p1,vehicle,employee,archive	Запретить назначение архивной техники сотруднику на backend и frontend.	T14
T16	Task	[T16] Запретить рабочие операции с архивным каталогом нормо-часов	P1	E4	2d	road700,master-plan,p1,labor-norms,archive,backend	Сделать архивный каталог нормо-часов полностью read-only для рабочих операций.	
